"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.093092620E2,3.621315766E1,-8.168170963E1,9.735487803E2,9.413161621E2,1.799999952E0,3.222000122E2,1.976320426E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.103097500E2,3.621317036E1,-8.168172308E1,9.736369056E2,9.414042969E2,1.899999976E0,3.173999939E2,1.994489912E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.113087500E2,3.621318154E1,-8.168173785E1,9.736519098E2,9.414193115E2,1.809999943E0,3.135000000E2,2.013013366E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.123097279E2,3.621319291E1,-8.168175294E1,9.737364938E2,9.415039062E2,1.809999943E0,3.147000122E2,2.031887612E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.133087799E2,3.621320510E1,-8.168176758E1,9.739811124E2,9.417485352E2,1.889999986E0,3.165000000E2,2.050621747E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.143087938E2,3.621321778E1,-8.168178133E1,9.740079582E2,9.417753906E2,1.809999943E0,3.211000061E2,2.068090844E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.153094439E2,3.621323058E1,-8.168179262E1,9.740872959E2,9.418547363E2,1.769999981E0,3.246000061E2,2.085220559E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.163095156E2,3.621324281E1,-8.168180423E1,9.742204664E2,9.419879150E2,1.799999952E0,3.201000061E2,2.101645885E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.173091026E2,3.621325297E1,-8.168181752E1,9.742879619E2,9.420554199E2,1.750000000E0,3.122000122E2,2.118057995E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.183093779E2,3.621326357E1,-8.168183025E1,9.741800428E2,9.419475098E2,1.879999995E0,3.213999939E2,2.134867467E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.193088060E2,3.621327486E1,-8.168184271E1,9.742432664E2,9.420107422E2,1.779999971E0,3.186000061E2,2.151141691E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.203087825E2,3.621328542E1,-8.168185527E1,9.742089557E2,9.419764404E2,1.789999962E0,3.181000061E2,2.167377107E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.213097065E2,3.621329649E1,-8.168186707E1,9.738557980E2,9.416232910E2,1.789999962E0,3.213999939E2,2.183658586E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.223089484E2,3.621330741E1,-8.168187916E1,9.735453647E2,9.413128662E2,1.779999971E0,3.172000122E2,2.199707941E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.233094703E2,3.621331741E1,-8.168189206E1,9.732842471E2,9.410517578E2,1.720000029E0,3.177999878E2,2.216840591E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.243089872E2,3.621332935E1,-8.168190413E1,9.734509867E2,9.412185059E2,1.850000024E0,3.232999878E2,2.233872878E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.253090265E2,3.621334188E1,-8.168191505E1,9.733823755E2,9.411499023E2,1.700000048E0,3.252999878E2,2.250751334E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.263093868E2,3.621335351E1,-8.168192714E1,9.734856384E2,9.412531738E2,1.659999967E0,3.187000122E2,2.267518313E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.273089496E2,3.621336458E1,-8.168193983E1,9.736111177E2,9.413786621E2,1.740000010E0,3.197000122E2,2.284159695E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.283091184E2,3.621337604E1,-8.168195176E1,9.737588144E2,9.415263672E2,1.700000048E0,3.232000122E2,2.301133583E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.293095833E2,3.621338794E1,-8.168196361E1,9.738236254E2,9.415911865E2,1.769999981E0,3.215000000E2,2.318077184E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.303096295E2,3.621339951E1,-8.168197590E1,9.740044028E2,9.417719727E2,1.710000038E0,3.215000000E2,2.334352938E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.313096482E2,3.621341071E1,-8.168198758E1,9.739934082E2,9.417609863E2,1.700000048E0,3.206000061E2,2.350311312E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.323096835E2,3.621342184E1,-8.168199881E1,9.738124921E2,9.415800781E2,1.669999957E0,3.212000122E2,2.366476072E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.333089351E2,3.621343336E1,-8.168200980E1,9.738744961E2,9.416420898E2,1.690000057E0,3.227000122E2,2.382879543E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.343094879E2,3.621344521E1,-8.168202069E1,9.740042491E2,9.417718506E2,1.679999948E0,3.225000000E2,2.399491808E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.353096749E2,3.621345673E1,-8.168203248E1,9.739728688E2,9.417404785E2,1.759999990E0,3.205000000E2,2.415948798E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.363095189E2,3.621346861E1,-8.168204342E1,9.741734226E2,9.419410400E2,1.710000038E0,3.252000122E2,2.433278429E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.373097101E2,3.621348146E1,-8.168205435E1,9.742467791E2,9.420144043E2,1.779999971E0,3.232999878E2,2.451109539E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.383091061E2,3.621349431E1,-8.168206624E1,9.742422541E2,9.420098877E2,1.789999962E0,3.241000061E2,2.468990596E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.393089535E2,3.621350675E1,-8.168207887E1,9.743329435E2,9.421005859E2,1.779999971E0,3.220000000E2,2.487060820E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.403089777E2,3.621351955E1,-8.168209128E1,9.744001955E2,9.421678467E2,1.840000033E0,3.252000122E2,2.504083360E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.413093426E2,3.621353196E1,-8.168210239E1,9.743702804E2,9.421379395E2,1.730000019E0,3.257999878E2,2.520378074E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.423097500E2,3.621354403E1,-8.168211269E1,9.746378513E2,9.424055176E2,1.669999957E0,3.261000061E2,2.535938587E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.433089198E2,3.621355536E1,-8.168212287E1,9.746556664E2,9.424233398E2,1.649999976E0,3.223999939E2,2.551680029E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.443090704E2,3.621356697E1,-8.168213291E1,9.745255323E2,9.422932129E2,1.679999948E0,3.262999878E2,2.567922873E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.453097643E2,3.621357870E1,-8.168214370E1,9.746776243E2,9.424453125E2,1.669999957E0,3.247999878E2,2.583972539E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.463092999E2,3.621359045E1,-8.168215409E1,9.747308397E2,9.424985352E2,1.600000024E0,3.253999939E2,2.600031206E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.473095403E2,3.621360225E1,-8.168216441E1,9.748442357E2,9.426119385E2,1.620000005E0,3.278999939E2,2.615407865E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.483088265E2,3.621361376E1,-8.168217391E1,9.749100249E2,9.426777344E2,1.519999981E0,3.272999878E2,2.629320412E-1,3.790092468E0,2.500000000E0,3.000000000E1
